DISTNAME,B_C1C5,B_C1C9,B_C5C9,G_C1C5,G_C1C9,G_C5C9
DARJILING,1435,890,-545,1302,1074,-228
JALPAIGURI,1379,1544,165,551,-2624,-3175
KOCH BIHAR,2436,5599,3163,847,-567,-1414
UTTAR DINAJPUR,14067,24858,10791,6578,13599,7021
DAKSHIN DINAJPUR,1121,2487,1366,577,-989,-1566
MALDAH,12917,27497,14580,6587,11291,4704
MURSHIDABAD,12215,32851,20636,7636,2968,-4668
BIRBHUM,4896,12259,7363,3272,5829,2557
BARDDHAMAN,-714,4852,5566,-3248,-6589,-3341
NADIA,165,-5463,-5628,-780,-12734,-11954
NORTH TWENTY FOUR PARGANAS,-6805,-11986,-5181,-11855,-27137,-15282
HUGLI,431,2945,2514,-729,-8212,-7483
BANKURA,165,952,787,-1270,-1668,-398
PURULIYA,-5121,5394,10515,-7239,2967,10206
HAORA,-94,2855,2949,-2451,-8703,-6252
KOLKATA,-4114,-5276,-1162,-5571,-8077,-2506
SOUTH  TWENTY FOUR PARGANAS,872,23504,22632,-5679,5233,10912
PURBA MEDINIPUR,3313,9594,6281,1319,1652,333
PASCHIM MEDINIPUR,3708,10711,7003,1608,3613,2005
SILIGURI,650,1794,1144,902,-363,-1265
ALIPURDUAR,2343,3574,1231,1061,1228,167
